,Tweet,Followers,Friends,Num_tweets,Verified,Listed_count,Location,Age,Length,Num_users,Num_author_replies,TOXICITY_x,Num_toxic_direct_replies,Num_toxic_nested_replies,Num_author_toxic_replies,Num_toxic_replies,Toxic
28519,1437615114983669765,49,39,1088,False,0,True,0,2,2,0,0.09611836,0.0,0.0,0.0,0.0,0
28520,1441871884719636485,200,76,5428,False,1,True,5,5,4,1,0.37751234,1.0,0.0,0.0,1.0,1
28521,1436545613563265025,8995,213,1996,False,29,False,1,2,2,0,0.06263174,0.0,0.0,0.0,0.0,0
28522,1436812807505387526,1252,99,1460,False,7,True,2,12,6,4,0.15269235,0.0,0.0,0.0,0.0,0
28523,1432561528104964096,8458,568,59732,False,8,True,1,9,8,1,0.029092113,1.0,0.0,0.0,1.0,1
28524,1433581570229743618,5159,4710,18833,False,36,True,7,4,3,1,0.10175867,0.0,0.0,0.0,0.0,0
28525,1432174842615316486,186,135,917,False,1,True,0,3,3,0,0.045378547,0.0,0.0,0.0,0.0,0
28526,1429231913416466432,9253,2596,96462,True,270,True,11,3,3,0,0.2396185,0.0,0.0,0.0,0.0,0
28527,1438703834633801728,382,212,18977,False,6,True,0,4,3,1,0.24924077,0.0,0.0,0.0,0.0,0
28528,1429653885577203713,1580,518,3970,False,5,False,6,3,3,0,0.033334624,0.0,0.0,0.0,0.0,0
28529,1426951478707511297,49,354,1621,False,0,True,1,3,3,0,0.3127066,0.0,0.0,0.0,0.0,0
28530,1426968381786259457,139,111,51,False,0,False,1,4,4,0,0.25462922,0.0,0.0,0.0,0.0,0
28531,1436151881672400898,22,17,21,False,0,True,9,2,2,0,0.113263406,0.0,0.0,0.0,0.0,0
28532,1433582224549429249,127579,1152,65704,False,629,True,9,2,2,0,0.25462922,0.0,0.0,0.0,0.0,0
28533,1428390296950300679,561,346,13386,False,2,True,12,2,2,0,0.37751234,0.0,0.0,0.0,0.0,0
28534,1438292172080615428,29,29,369,False,0,False,0,6,4,1,0.03192045,0.0,0.0,0.0,0.0,0
28535,1426651053328584707,275,260,4525,False,1,True,0,2,2,0,0.18459146,0.0,0.0,0.0,0.0,0
28536,1430713819752542215,108,175,5717,False,1,True,9,4,2,1,0.45751464,0.0,1.0,0.0,1.0,1
28537,1433226509817364487,1504,939,32922,False,0,True,13,5,4,1,0.049336795,0.0,0.0,0.0,0.0,0
28538,1426642534701408256,2271,2864,16502,False,14,True,1,114,13,1,0.07608539,3.0,0.0,0.0,3.0,1
28539,1432158510004023300,2725,1518,45409,True,47,True,11,4,2,1,0.37694603,0.0,0.0,0.0,0.0,0
28540,1434313350469636100,4021,575,2270,False,81,True,6,5,2,2,0.07608539,0.0,0.0,0.0,0.0,0
28541,1427765509240631305,64,81,529,False,0,True,0,2,2,0,0.06579731,0.0,0.0,0.0,0.0,0
28542,1431400871888408579,4360,5002,104130,False,1,True,4,2,2,0,0.055768944,1.0,0.0,0.0,1.0,1
28543,1435806195521044481,6196,3118,50665,False,20,False,2,4,3,1,0.3389984,1.0,0.0,0.0,1.0,1
28544,1433957879027933189,358,591,36921,False,5,False,13,2,2,0,0.061444655,0.0,0.0,0.0,0.0,0
28545,1436156403157123075,3737,195,405,False,16,True,6,8,5,0,0.024613906,0.0,0.0,0.0,0.0,0
28546,1426950765680201728,1082,1726,29405,False,22,True,2,3,2,1,0.03592727,0.0,0.0,0.0,0.0,0
28547,1433582186796572675,159578,3672,71831,False,50,True,2,4,4,0,0.05205809,0.0,0.0,0.0,0.0,0
28548,1426644669576982533,1928,227,20057,False,19,True,2,8,3,3,0.11202335,1.0,0.0,0.0,1.0,1
28549,1432539159869018112,3006,2143,99113,False,141,True,7,22,18,2,0.041915078,0.0,0.0,0.0,0.0,0
